	signature	seed	d_avg
0	[(-1, 2), (-1, 2)]	0	0.1427653431892395
1	[(-1, 2), (-1, 2)]	1	0.1418738067150116
2	[(-1, 2), (-1, 2)]	2	0.14280900359153748
3	[(-1, 2), (-1, 2)]	3	0.14211808145046234
4	[(-1, 2), (-1, 2)]	4	0.1441294103860855
5	[(-1, 2), (-1, 2)]	5	0.14248628914356232
6	[(-1, 2), (-1, 2)]	6	0.14250411093235016
7	[(-1, 2), (-1, 2)]	7	0.14218291640281677
8	[(-1, 2), (-1, 2)]	8	0.14152891933918
9	[(-1, 2), (-1, 2)]	9	0.14156831800937653
10	[(-1, 2), (0, 2)]	10	0.14274930953979492
11	[(-1, 2), (0, 2)]	11	0.14194101095199585
12	[(-1, 2), (0, 2)]	12	0.14457762241363525
13	[(-1, 2), (0, 2)]	13	0.1439119577407837
14	[(-1, 2), (0, 2)]	14	0.1426617056131363
15	[(-1, 2), (0, 2)]	15	0.1425205022096634
16	[(-1, 2), (0, 2)]	16	0.14214706420898438
17	[(-1, 2), (0, 2)]	17	0.1431305855512619
18	[(-1, 2), (0, 2)]	18	0.14432579278945923
19	[(-1, 2), (0, 2)]	19	0.14258798956871033
20	[(-1, 2), (1, 2)]	20	0.14271427690982819
21	[(-1, 2), (1, 2)]	21	0.1420862078666687
22	[(-1, 2), (1, 2)]	22	0.14219270646572113
23	[(-1, 2), (1, 2)]	23	0.14265868067741394
24	[(-1, 2), (1, 2)]	24	0.14243049919605255
25	[(-1, 2), (1, 2)]	25	0.142515167593956
26	[(-1, 2), (1, 2)]	26	0.1421530693769455
27	[(-1, 2), (1, 2)]	27	0.14230966567993164
28	[(-1, 2), (1, 2)]	28	0.14285683631896973
29	[(-1, 2), (1, 2)]	29	0.14225347340106964
30	[(1, 2), (1, 2)]	30	0.14310257136821747
31	[(1, 2), (1, 2)]	31	0.14231228828430176
32	[(1, 2), (1, 2)]	32	0.1434808075428009
33	[(1, 2), (1, 2)]	33	0.14205719530582428
34	[(1, 2), (1, 2)]	34	0.1424712836742401
35	[(1, 2), (1, 2)]	35	0.14237837493419647
36	[(1, 2), (1, 2)]	36	0.1427983194589615
37	[(1, 2), (1, 2)]	37	0.1427198201417923
38	[(1, 2), (1, 2)]	38	0.1437612920999527
39	[(1, 2), (1, 2)]	39	0.1434023380279541
40	[(1, 2), (0, 2)]	40	0.14273318648338318
41	[(1, 2), (0, 2)]	41	0.1427977979183197
42	[(1, 2), (0, 2)]	42	0.14284227788448334
43	[(1, 2), (0, 2)]	43	0.1427430659532547
44	[(1, 2), (0, 2)]	44	0.14242084324359894
45	[(1, 2), (0, 2)]	45	0.14248540997505188
46	[(1, 2), (0, 2)]	46	0.1422705501317978
47	[(1, 2), (0, 2)]	47	0.14234700798988342
48	[(1, 2), (0, 2)]	48	0.1422409564256668
49	[(1, 2), (0, 2)]	49	0.14304974675178528
50	[(-1, 4)]	50	0.14063377678394318
51	[(-1, 4)]	51	0.1414506882429123
52	[(-1, 4)]	52	0.14111794531345367
53	[(-1, 4)]	53	0.14040668308734894
54	[(-1, 4)]	54	0.14098353683948517
55	[(-1, 4)]	55	0.14159360527992249
56	[(-1, 4)]	56	0.14184553921222687
57	[(-1, 4)]	57	0.14044345915317535
58	[(-1, 4)]	58	0.14145217835903168
59	[(-1, 4)]	59	0.14035801589488983
60	[(0, 4)]	60	0.14184243977069855
61	[(0, 4)]	61	0.14223210513591766
62	[(0, 4)]	62	0.14372321963310242
63	[(0, 4)]	63	0.14318306744098663
64	[(0, 4)]	64	0.142615407705307
65	[(0, 4)]	65	0.14253856241703033
66	[(0, 4)]	66	0.14225536584854126
67	[(0, 4)]	67	0.14258608222007751
68	[(0, 4)]	68	0.14241242408752441
69	[(0, 4)]	69	0.14197035133838654
70	[(1, 4)]	70	0.1431734263896942
71	[(1, 4)]	71	0.1431991308927536
72	[(1, 4)]	72	0.14443723857402802
73	[(1, 4)]	73	0.14259473979473114
74	[(1, 4)]	74	0.14317087829113007
75	[(1, 4)]	75	0.14334414899349213
76	[(1, 4)]	76	0.14322958886623383
77	[(1, 4)]	77	0.1439209282398224
78	[(1, 4)]	78	0.14310775697231293
79	[(1, 4)]	79	0.14357219636440277
