	signature	seed	d_avg
0	[(-1, 2), (-1, 2)]	1	0.09219972819337659
1	[(-1, 2), (-1, 2)]	2	0.09065767701068322
2	[(-1, 2), (-1, 2)]	3	0.09082973995938749
3	[(-1, 2), (-1, 2)]	4	0.09260741551172703
4	[(-1, 2), (-1, 2)]	5	0.09097048243299648
5	[(-1, 2), (-1, 2)]	6	0.09248087265598151
6	[(-1, 2), (-1, 2)]	7	0.09071148744528311
7	[(-1, 2), (-1, 2)]	8	0.09172551263497199
8	[(-1, 2), (-1, 2)]	9	0.09132766327109745
9	[(-1, 2), (0, 2)]	10	0.09255250321627634
10	[(-1, 2), (0, 2)]	11	0.09360716885064402
11	[(-1, 2), (0, 2)]	12	0.09082925864991356
12	[(-1, 2), (0, 2)]	13	0.09075800794607847
13	[(-1, 2), (0, 2)]	14	0.09217867066756423
14	[(-1, 2), (0, 2)]	15	0.09238633958068891
15	[(-1, 2), (0, 2)]	16	0.09194746403963491
16	[(-1, 2), (0, 2)]	17	0.09384792696796851
17	[(-1, 2), (0, 2)]	18	0.09264748709312781
18	[(-1, 2), (0, 2)]	19	0.09266433884134316
19	[(-1, 2), (1, 2)]	20	0.09289851377066313
20	[(-1, 2), (1, 2)]	21	0.09117331294101842
21	[(-1, 2), (1, 2)]	22	0.09429903269455527
22	[(-1, 2), (1, 2)]	23	0.09044473276551283
23	[(-1, 2), (1, 2)]	24	0.09406040651356329
24	[(-1, 2), (1, 2)]	25	0.09032893308653522
25	[(-1, 2), (1, 2)]	26	0.09439479908920122
26	[(-1, 2), (1, 2)]	27	0.09160673898429637
27	[(-1, 2), (1, 2)]	28	0.0919986898920891
28	[(-1, 2), (1, 2)]	29	0.09056868910800611
29	[(1, 2), (1, 2)]	30	0.09227114366746647
30	[(1, 2), (1, 2)]	31	0.09097717825862757
31	[(1, 2), (1, 2)]	32	0.09168197804520607
32	[(1, 2), (1, 2)]	33	0.09081483949418465
33	[(1, 2), (1, 2)]	34	0.09252078322828929
34	[(1, 2), (1, 2)]	35	0.09257529377202647
35	[(1, 2), (1, 2)]	36	0.09024314975631657
36	[(1, 2), (1, 2)]	37	0.09218228691017208
37	[(1, 2), (1, 2)]	38	0.0899478460324046
38	[(1, 2), (1, 2)]	39	0.09121393560583012
39	[(1, 2), (0, 2)]	40	0.09102216107312505
40	[(1, 2), (0, 2)]	41	0.09264464326271205
41	[(1, 2), (0, 2)]	42	0.09309356063185147
42	[(1, 2), (0, 2)]	43	0.09453133569765947
43	[(1, 2), (0, 2)]	44	0.09030985254339183
44	[(1, 2), (0, 2)]	45	0.09523179434645851
45	[(1, 2), (0, 2)]	46	0.0922406333086671
46	[(1, 2), (0, 2)]	47	0.09139011132325235
47	[(1, 2), (0, 2)]	48	0.09047080885883443
48	[(1, 2), (0, 2)]	49	0.09402399638519117
49	[(-1, 4)]	50	0.09060253414975862
50	[(-1, 4)]	51	0.09103370774011932
51	[(-1, 4)]	52	0.09044161245519426
52	[(-1, 4)]	53	0.09340120692644255
53	[(-1, 4)]	54	0.09077006931969907
54	[(-1, 4)]	55	0.09010366862019366
55	[(-1, 4)]	56	0.09215772454298683
56	[(-1, 4)]	57	0.09179249645074891
57	[(-1, 4)]	58	0.09110655705720865
58	[(-1, 4)]	59	0.09135595117831105
59	[(0, 4)]	60	0.09236027598690731
60	[(0, 4)]	61	0.09512530729886827
61	[(0, 4)]	62	0.09192148655508461
62	[(0, 4)]	63	0.0914924601175528
63	[(0, 4)]	64	0.09224585779464453
64	[(0, 4)]	65	0.0942682517660081
65	[(0, 4)]	66	0.09413682422669425
66	[(0, 4)]	67	0.09213288353160488
67	[(0, 4)]	68	0.09691793562148507
68	[(0, 4)]	69	0.09318250891725682
69	[(1, 4)]	70	0.09261931599630066
70	[(1, 4)]	71	0.09177181169797527
71	[(1, 4)]	72	0.09328508651635524
72	[(1, 4)]	73	0.09661200400016666
73	[(1, 4)]	74	0.09405777868450009
74	[(1, 4)]	75	0.09438936826485221
75	[(1, 4)]	76	0.09336004407247128
76	[(1, 4)]	77	0.09166879992215421
77	[(1, 4)]	78	0.09659818444634852
78	[(1, 4)]	79	0.09101620554731284
