	signature	seed	d_avg
0	[(-1, 2), (-1, 2)]	0	0.18730860948562622
1	[(-1, 2), (-1, 2)]	1	0.1837000846862793
2	[(-1, 2), (-1, 2)]	2	0.18837150931358337
3	[(-1, 2), (-1, 2)]	3	0.1855849325656891
4	[(-1, 2), (-1, 2)]	4	0.18297892808914185
5	[(-1, 2), (-1, 2)]	5	0.18583951890468597
6	[(-1, 2), (-1, 2)]	6	0.18478132784366608
7	[(-1, 2), (-1, 2)]	7	0.18502496182918549
8	[(-1, 2), (-1, 2)]	8	0.18478842079639435
9	[(-1, 2), (-1, 2)]	9	0.18295511603355408
10	[(-1, 2), (0, 2)]	10	0.18542826175689697
11	[(-1, 2), (0, 2)]	11	0.185371533036232
12	[(-1, 2), (0, 2)]	12	0.18185806274414062
13	[(-1, 2), (0, 2)]	13	0.18415938317775726
14	[(-1, 2), (0, 2)]	14	0.1860860139131546
15	[(-1, 2), (0, 2)]	15	0.18282173573970795
16	[(-1, 2), (0, 2)]	16	0.18972554802894592
17	[(-1, 2), (0, 2)]	17	0.18393586575984955
18	[(-1, 2), (0, 2)]	18	0.18517367541790009
19	[(-1, 2), (0, 2)]	19	0.1856117844581604
20	[(-1, 2), (1, 2)]	20	0.18643829226493835
21	[(-1, 2), (1, 2)]	21	0.18605971336364746
22	[(-1, 2), (1, 2)]	22	0.18625622987747192
23	[(-1, 2), (1, 2)]	23	0.18174688518047333
24	[(-1, 2), (1, 2)]	24	0.18523648381233215
25	[(-1, 2), (1, 2)]	25	0.18493492901325226
26	[(-1, 2), (1, 2)]	26	0.18219858407974243
27	[(-1, 2), (1, 2)]	27	0.18497847020626068
28	[(-1, 2), (1, 2)]	28	0.18604624271392822
29	[(-1, 2), (1, 2)]	29	0.18482796847820282
30	[(1, 2), (1, 2)]	30	0.18014593422412872
31	[(1, 2), (1, 2)]	31	0.17994675040245056
32	[(1, 2), (1, 2)]	32	0.18087483942508698
33	[(1, 2), (1, 2)]	33	0.18318957090377808
34	[(1, 2), (1, 2)]	34	0.18100816011428833
35	[(1, 2), (1, 2)]	35	0.183327779173851
36	[(1, 2), (1, 2)]	36	0.18260350823402405
37	[(1, 2), (1, 2)]	37	0.18032921850681305
38	[(1, 2), (1, 2)]	38	0.18336281180381775
39	[(1, 2), (1, 2)]	39	0.1821613758802414
40	[(1, 2), (0, 2)]	40	0.18487803637981415
41	[(1, 2), (0, 2)]	41	0.18126194179058075
42	[(1, 2), (0, 2)]	42	0.182105153799057
43	[(1, 2), (0, 2)]	43	0.18375831842422485
44	[(1, 2), (0, 2)]	44	0.1851942390203476
45	[(1, 2), (0, 2)]	45	0.18377962708473206
46	[(1, 2), (0, 2)]	46	0.1829622983932495
47	[(1, 2), (0, 2)]	47	0.1839229017496109
48	[(1, 2), (0, 2)]	48	0.18465910851955414
49	[(1, 2), (0, 2)]	49	0.1852419227361679
50	[(-1, 4)]	50	0.18199801445007324
51	[(-1, 4)]	51	0.18303459882736206
52	[(-1, 4)]	52	0.18213960528373718
53	[(-1, 4)]	53	0.18219898641109467
54	[(-1, 4)]	54	0.18214336037635803
55	[(-1, 4)]	55	0.18235903978347778
56	[(-1, 4)]	56	0.180267795920372
57	[(-1, 4)]	57	0.18062081933021545
58	[(-1, 4)]	58	0.18299628794193268
59	[(-1, 4)]	59	0.18124298751354218
60	[(0, 4)]	60	0.18319140374660492
61	[(0, 4)]	61	0.18296632170677185
62	[(0, 4)]	62	0.18323947489261627
63	[(0, 4)]	63	0.18510320782661438
64	[(0, 4)]	64	0.1830291748046875
65	[(0, 4)]	65	0.18087509274482727
66	[(0, 4)]	66	0.18283237516880035
67	[(0, 4)]	67	0.1851271539926529
68	[(0, 4)]	68	0.18378397822380066
69	[(0, 4)]	69	0.18167471885681152
70	[(1, 4)]	70	0.1822901964187622
71	[(1, 4)]	71	0.184249609708786
72	[(1, 4)]	72	0.18064482510089874
73	[(1, 4)]	73	0.18257759511470795
74	[(1, 4)]	74	0.1837429702281952
75	[(1, 4)]	75	0.18393240869045258
76	[(1, 4)]	76	0.18315662443637848
77	[(1, 4)]	77	0.1795971393585205
78	[(1, 4)]	78	0.18302302062511444
79	[(1, 4)]	79	0.18208293616771698
