sklearn_dt	sklearn_rf	product_dt	product_rf	tangent_dt	tangent_rf	knn	ps_perceptron	task	signature	dataset	table
0.345	0.315	0.375	0.405	0.345	0.345	0.425	0.165	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.335	0.35	0.32	0.35	0.37	0.375	0.39	0.145	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.305	0.3	0.385	0.38	0.355	0.39	0.435	0.19	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.415	0.44	0.515	0.52	0.465	0.5	0.54	0.115	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.33	0.345	0.34	0.4	0.33	0.41	0.355	0.07	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.275	0.28	0.395	0.41	0.375	0.365	0.48	0.155	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.235	0.225	0.245	0.285	0.255	0.31	0.335	0.12	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.285	0.275	0.205	0.31	0.285	0.305	0.32	0.155	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.335	0.295	0.32	0.415	0.39	0.38	0.45	0.18	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.35	0.37	0.385	0.375	0.37	0.395	0.475	0.1	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.28	0.29	0.31	0.345	0.365	0.375	0.325	0.165	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.42	0.455	0.42	0.52	0.425	0.47	0.52	0.26	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.29	0.31	0.36	0.395	0.38	0.385	0.355	0.235	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.385	0.355	0.4	0.515	0.46	0.47	0.46	0.1	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.315	0.36	0.405	0.42	0.315	0.44	0.43	0.135	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.285	0.275	0.38	0.355	0.355	0.325	0.33	0.11	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.245	0.32	0.355	0.41	0.265	0.365	0.435	0.185	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
0.385	0.42	0.435	0.435	0.415	0.46	0.41	0.12	C	$\S{2,-4.0}$	Gaussian	Synthetic (single $K$)
