signature	seed	sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
HH	0	0.31	0.31	0.0047130584716796875	0.385	0.385	0.028148889541625977	0.35	0.35	0.5366024971008301	0.3	0.3	5.663781642913818	0.34	0.34	0.003260374069213867	0.38	0.38	0.02780628204345703	0.435	0.435	0.8211278915405273	0.145	0.145	0.02417922019958496	0.345	0.345	0.1398482322692871	0.325	0.325	0.1391124725341797	0.3	0.3	0.4725947380065918	0.19	0.19	0.4670867919921875
HH	1	0.32	0.32	0.004864692687988281	0.355	0.355	0.027043819427490234	0.295	0.295	0.66416335105896	0.345	0.345	6.097817897796631	0.335	0.335	0.003625631332397461	0.32	0.32	0.027057170867919922	0.345	0.345	0.0032150745391845703	0.16	0.16	0.011729955673217773	0.36	0.36	0.1400303840637207	0.375	0.375	0.1309359073638916	0.33	0.33	0.41579413414001465	0.255	0.255	0.4236643314361572
HH	2	0.345	0.345	0.004560708999633789	0.415	0.415	0.026886940002441406	0.315	0.315	0.5159075260162354	0.39	0.39	5.223985433578491	0.435	0.435	0.0033206939697265625	0.42	0.42	0.02673625946044922	0.37	0.37	0.0034487247467041016	0.125	0.125	0.012275218963623047	0.36	0.36	0.1292705535888672	0.385	0.385	0.13216209411621094	0.235	0.235	0.41201281547546387	0.285	0.285	0.42543935775756836
HH	3	0.29	0.29	0.0048367977142333984	0.38	0.38	0.026859521865844727	0.415	0.415	0.49718642234802246	0.4	0.4	4.9562225341796875	0.345	0.345	0.0036275386810302734	0.405	0.405	0.028316736221313477	0.415	0.415	0.004983425140380859	0.14	0.14	0.012802600860595703	0.35	0.35	0.1441493034362793	0.32	0.32	0.16602230072021484	0.32	0.32	0.4873178005218506	0.305	0.305	0.46543288230895996
HH	4	0.3	0.3	0.0047986507415771484	0.325	0.325	0.028653621673583984	0.285	0.285	0.5463559627532959	0.375	0.375	5.590052604675293	0.35	0.35	0.0034584999084472656	0.335	0.335	0.028043031692504883	0.405	0.405	0.004933357238769531	0.115	0.115	0.01225423812866211	0.315	0.315	0.13473272323608398	0.36	0.36	0.1501774787902832	0.265	0.265	0.42019200325012207	0.205	0.205	0.4261603355407715
HH	5	0.29	0.29	0.0049517154693603516	0.355	0.355	0.026794910430908203	0.4	0.4	0.5586285591125488	0.355	0.355	5.521978855133057	0.375	0.375	0.004294157028198242	0.37	0.37	0.032801151275634766	0.445	0.445	0.0041408538818359375	0.12	0.12	0.014041900634765625	0.425	0.425	0.14371204376220703	0.34	0.34	0.1477961540222168	0.235	0.235	0.4608144760131836	0.15	0.15	0.46825599670410156
HH	6	0.265	0.265	0.00507807731628418	0.31	0.31	0.029126405715942383	0.3	0.3	0.623471736907959	0.29	0.29	5.8743884563446045	0.28	0.28	0.003317594528198242	0.365	0.365	0.028096675872802734	0.36	0.36	0.004173755645751953	0.145	0.145	0.012445688247680664	0.365	0.365	0.12805438041687012	0.31	0.31	0.13466262817382812	0.275	0.275	0.472536563873291	0.165	0.165	0.48096275329589844
HH	7	0.295	0.295	0.005088090896606445	0.35	0.35	0.026956796646118164	0.315	0.315	0.5546562671661377	0.39	0.39	5.292242050170898	0.245	0.245	0.0036613941192626953	0.395	0.395	0.02799391746520996	0.41	0.41	0.0040743350982666016	0.145	0.145	0.012682914733886719	0.305	0.305	0.12791728973388672	0.29	0.29	0.13591766357421875	0.28	0.28	2.3675785064697266	0.2	0.2	1.30767822265625
HH	8	0.365	0.365	0.0044977664947509766	0.44	0.44	0.02698802947998047	0.39	0.39	0.4901432991027832	0.42	0.42	4.889014005661011	0.41	0.41	0.0034830570220947266	0.425	0.425	0.02682805061340332	0.45	0.45	0.0034029483795166016	0.145	0.145	0.012104272842407227	0.37	0.37	0.12203383445739746	0.355	0.355	0.12971282005310059	0.34	0.34	0.4047858715057373	0.32	0.32	0.41536498069763184
HH	9	0.335	0.335	0.004667997360229492	0.41	0.41	0.0281374454498291	0.39	0.39	0.5471138954162598	0.385	0.385	5.285066366195679	0.365	0.365	0.0033156871795654297	0.44	0.44	0.026836395263671875	0.395	0.395	0.0033864974975585938	0.16	0.16	0.011868476867675781	0.325	0.325	0.12368965148925781	0.34	0.34	0.13071656227111816	0.265	0.265	0.4073817729949951	0.23	0.23	0.41694068908691406
