curvature	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
-4.0	0	0.34	0.34	0.3575711250305176	0.385	0.385	0.22484350204467773	0.31	0.31	0.23322486877441406	0.21	0.21	0.14750432968139648	0.305	0.305	0.4926774501800537	0.24	0.24	0.4824090003967285
-4.0	1	0.44	0.44	0.011150121688842773	0.395	0.395	0.12021231651306152	0.3	0.3	0.12743377685546875	0.185	0.185	0.13185334205627441	0.31	0.31	0.491985559463501	0.305	0.305	0.48124241828918457
-4.0	2	0.285	0.285	0.011057376861572266	0.355	0.355	0.11919975280761719	0.225	0.225	0.12664413452148438	0.1	0.1	0.13049650192260742	0.26	0.26	0.46289706230163574	0.195	0.195	0.47964000701904297
-4.0	3	0.41	0.41	0.010808467864990234	0.42	0.42	0.11844611167907715	0.355	0.355	0.1271190643310547	0.13	0.13	0.13292217254638672	0.045	0.045	0.46668457984924316	0.045	0.045	0.4840250015258789
-4.0	4	0.275	0.275	0.011958599090576172	0.285	0.285	0.11795783042907715	0.21	0.21	0.12587332725524902	0.17	0.17	0.1329658031463623	0.075	0.075	0.46431684494018555	0.075	0.075	0.4794950485229492
-4.0	5	0.33	0.33	0.010977506637573242	0.345	0.345	0.12085914611816406	0.295	0.295	0.12592840194702148	0.12	0.12	0.1335744857788086	0.17	0.17	0.4705381393432617	0.145	0.145	0.49136972427368164
-4.0	6	0.355	0.355	0.010467767715454102	0.375	0.375	0.12022948265075684	0.275	0.275	0.12637758255004883	0.265	0.265	0.13426995277404785	0.27	0.27	0.406872034072876	0.18	0.18	0.41753149032592773
-4.0	7	0.34	0.34	0.009483098983764648	0.32	0.32	0.1182258129119873	0.25	0.25	0.12552809715270996	0.205	0.205	0.13174796104431152	0.295	0.295	0.4152357578277588	0.125	0.125	0.4247286319732666
-4.0	8	0.325	0.325	0.010578632354736328	0.34	0.34	0.10860967636108398	0.265	0.265	0.14454388618469238	0.12	0.12	0.14246892929077148	0.285	0.285	0.45824694633483887	0.245	0.245	0.45001745223999023
-4.0	9	0.28	0.28	0.010263204574584961	0.345	0.345	0.11150479316711426	0.25	0.25	0.12393593788146973	0.19	0.19	0.12923192977905273	0.24	0.24	0.404308557510376	0.215	0.215	0.41441774368286133
-2.0	10	0.37	0.37	0.009858846664428711	0.37	0.37	0.11017274856567383	0.305	0.305	0.12322735786437988	0.18	0.18	0.12863874435424805	0.26	0.26	0.4002091884613037	0.22	0.22	0.40479040145874023
-2.0	11	0.39	0.39	0.009788751602172852	0.37	0.37	0.10643458366394043	0.285	0.285	0.12435460090637207	0.2	0.2	0.12945199012756348	0.275	0.275	0.403705358505249	0.285	0.285	0.4132564067840576
-2.0	12	0.33	0.33	0.010037422180175781	0.345	0.345	0.11054801940917969	0.19	0.19	0.1269690990447998	0.165	0.165	0.13099312782287598	0.245	0.245	0.40492820739746094	0.185	0.185	0.41428065299987793
-2.0	13	0.31	0.31	0.009730339050292969	0.285	0.285	0.11319947242736816	0.26	0.26	0.1260828971862793	0.125	0.125	0.12964940071105957	0.245	0.245	0.4048912525177002	0.195	0.195	0.41547608375549316
-2.0	14	0.315	0.315	0.010355234146118164	0.305	0.305	0.11275243759155273	0.25	0.25	0.12508034706115723	0.15	0.15	0.13158583641052246	0.295	0.295	0.4111464023590088	0.22	0.22	0.4169900417327881
-2.0	15	0.34	0.34	0.010968446731567383	0.36	0.36	0.11016416549682617	0.245	0.245	0.12566781044006348	0.135	0.135	0.13077402114868164	0.28	0.28	0.40746164321899414	0.21	0.21	0.4203166961669922
-2.0	16	0.315	0.315	0.010056257247924805	0.37	0.37	0.11415362358093262	0.315	0.315	0.125502347946167	0.27	0.27	0.12970829010009766	0.275	0.275	0.4090590476989746	0.25	0.25	0.41748642921447754
-2.0	17	0.325	0.325	0.009978771209716797	0.345	0.345	0.10967183113098145	0.3	0.3	0.12467074394226074	0.16	0.16	0.13405489921569824	0.31	0.31	0.40303492546081543	0.085	0.085	0.41318607330322266
-2.0	18	0.465	0.465	0.009975910186767578	0.49	0.49	0.11368370056152344	0.43	0.43	0.12380576133728027	0.4	0.4	0.15134310722351074	0.42	0.42	0.4580981731414795	0.165	0.165	0.47272157669067383
-2.0	19	0.41	0.41	0.009927511215209961	0.42	0.42	0.12851953506469727	0.31	0.31	0.1231539249420166	0.29	0.29	0.13006997108459473	0.34	0.34	0.40924596786499023	0.265	0.265	0.41846513748168945
-1.0	20	0.345	0.345	0.010015487670898438	0.38	0.38	0.11606645584106445	0.37	0.37	0.12424302101135254	0.285	0.285	0.13083362579345703	0.325	0.325	0.40752434730529785	0.35	0.35	0.43732380867004395
-1.0	21	0.365	0.365	0.010183572769165039	0.415	0.415	0.1275348663330078	0.335	0.335	0.14338183403015137	0.305	0.305	0.13880586624145508	0.335	0.335	0.39619898796081543	0.28	0.28	0.4054889678955078
