sklearn_dt	sklearn_rf	product_dt	product_rf	tangent_dt	tangent_rf	knn	ps_perceptron	signature	seed
0.31	0.345	0.285	0.365	0.315	0.34	0.39	0.165	HH	0
0.375	0.36	0.335	0.395	0.34	0.355	0.39	0.085	HH	1
0.3	0.335	0.325	0.31	0.33	0.285	0.375	0.215	HH	2
0.355	0.41	0.4	0.4	0.36	0.385	0.38	0.155	HH	3
0.32	0.315	0.305	0.355	0.31	0.345	0.4	0.17	HH	4
0.385	0.365	0.305	0.425	0.315	0.36	0.465	0.21	HH	5
0.3	0.345	0.325	0.38	0.315	0.365	0.49	0.165	HH	6
0.27	0.325	0.295	0.375	0.28	0.375	0.445	0.205	HH	7
0.33	0.4	0.285	0.35	0.315	0.3	0.45	0.19	HH	8
0.32	0.37	0.325	0.365	0.35	0.345	0.43	0.17	HH	9
0.355	0.38	0.285	0.285	0.385	0.4	0.4	0.12	HH	10
0.26	0.315	0.25	0.325	0.235	0.33	0.405	0.105	HH	11
0.42	0.415	0.37	0.39	0.37	0.37	0.435	0.265	HH	12
0.26	0.36	0.345	0.375	0.315	0.33	0.37	0.15	HH	13
0.265	0.36	0.21	0.385	0.26	0.4	0.475	0.125	HH	14
0.31	0.32	0.335	0.36	0.28	0.36	0.365	0.135	HH	15
0.34	0.445	0.42	0.445	0.36	0.425	0.49	0.11	HH	16
0.295	0.33	0.365	0.44	0.275	0.32	0.4	0.13	HH	17
0.35	0.37	0.365	0.43	0.37	0.42	0.43	0.34	HH	18
0.305	0.33	0.295	0.38	0.285	0.325	0.41	0.115	HH	19
0.33	0.355	0.35	0.39	0.335	0.38	0.415	0.15	HH	20
0.275	0.29	0.285	0.335	0.295	0.265	0.335	0.12	HH	21
0.455	0.465	0.41	0.435	0.45	0.455	0.515	0.085	HH	22
0.37	0.36	0.355	0.355	0.36	0.345	0.39	0.085	HH	23
0.345	0.28	0.32	0.38	0.335	0.385	0.425	0.14	HH	24
0.275	0.38	0.32	0.36	0.265	0.325	0.4	0.155	HH	25
0.325	0.34	0.325	0.43	0.36	0.32	0.43	0.215	HH	26
0.3	0.35	0.325	0.34	0.31	0.32	0.41	0.16	HH	27
0.36	0.37	0.33	0.385	0.3	0.365	0.36	0.115	HH	28
0.335	0.29	0.305	0.33	0.305	0.32	0.44	0.295	HH	29
0.23	0.28	0.26	0.29	0.26	0.28	0.35	0.19	HH	30
0.345	0.43	0.345	0.385	0.325	0.4	0.425	0.135	HH	31
0.41	0.41	0.365	0.43	0.415	0.38	0.435	0.105	HH	32
0.22	0.25	0.26	0.3	0.235	0.275	0.335	0.195	HH	33
0.235	0.245	0.22	0.295	0.24	0.295	0.34	0.15	HH	34
0.37	0.43	0.395	0.42	0.415	0.43	0.445	0.125	HH	35
0.305	0.295	0.29	0.36	0.32	0.315	0.42	0.17	HH	36
0.25	0.31	0.33	0.385	0.26	0.345	0.46	0.13	HH	37
0.245	0.31	0.22	0.29	0.26	0.38	0.405	0.085	HH	38
0.285	0.335	0.31	0.345	0.335	0.36	0.385	0.105	HH	39
0.275	0.34	0.3	0.33	0.275	0.355	0.4	0.1	HH	40
0.29	0.265	0.25	0.32	0.215	0.29	0.41	0.155	HH	41
0.295	0.35	0.28	0.355	0.285	0.32	0.325	0.105	HH	42
0.37	0.36	0.365	0.42	0.335	0.37	0.37	0.16	HH	43
0.3	0.31	0.405	0.375	0.335	0.35	0.41	0.165	HH	44
0.34	0.33	0.355	0.405	0.365	0.39	0.465	0.09	HH	45
0.29	0.315	0.315	0.32	0.23	0.305	0.385	0.155	HH	46
0.38	0.4	0.37	0.41	0.365	0.395	0.435	0.085	HH	47
0.25	0.29	0.285	0.315	0.26	0.305	0.36	0.165	HH	48
0.24	0.29	0.235	0.27	0.255	0.275	0.365	0.16	HH	49
0.35	0.455	0.34	0.4	0.315	0.42	0.425	0.175	HH	50
0.4	0.39	0.415	0.44	0.39	0.475	0.505	0.29	HH	51
0.38	0.38	0.35	0.44	0.41	0.415	0.545	0.185	HH	52
0.305	0.315	0.295	0.3	0.29	0.335	0.315	0.2	HH	53
0.37	0.385	0.45	0.495	0.35	0.455	0.475	0.12	HH	54
0.33	0.325	0.235	0.395	0.3	0.35	0.425	0.18	HH	55
0.33	0.39	0.33	0.41	0.33	0.345	0.375	0.19	HH	56
0.355	0.355	0.41	0.375	0.41	0.37	0.43	0.3	HH	57
0.36	0.37	0.28	0.325	0.325	0.34	0.41	0.095	HH	58
0.35	0.335	0.315	0.415	0.315	0.36	0.365	0.11	HH	59
0.3	0.335	0.265	0.355	0.305	0.36	0.42	0.125	HH	60
0.315	0.315	0.335	0.35	0.335	0.305	0.375	0.115	HH	61
0.26	0.285	0.275	0.325	0.29	0.3	0.35	0.145	HH	62
0.3	0.33	0.325	0.38	0.3	0.37	0.385	0.135	HH	63
0.335	0.36	0.39	0.435	0.36	0.355	0.48	0.085	HH	64
0.36	0.365	0.285	0.4	0.31	0.38	0.42	0.17	HH	65
0.34	0.385	0.325	0.375	0.305	0.375	0.455	0.125	HH	66
0.33	0.405	0.375	0.42	0.4	0.45	0.505	0.265	HH	67
0.345	0.43	0.415	0.465	0.4	0.44	0.56	0.13	HH	68
0.38	0.46	0.345	0.41	0.345	0.44	0.47	0.205	HH	69
0.28	0.355	0.26	0.32	0.29	0.33	0.355	0.18	HH	70
0.27	0.29	0.285	0.365	0.29	0.29	0.41	0.13	HH	71
0.33	0.345	0.335	0.36	0.285	0.375	0.46	0.14	HH	72
0.18	0.25	0.245	0.345	0.23	0.275	0.275	0.125	HH	73
0.26	0.3	0.285	0.325	0.33	0.325	0.425	0.275	HH	74
0.38	0.415	0.46	0.47	0.415	0.445	0.495	0.14	HH	75
0.285	0.28	0.285	0.34	0.27	0.31	0.38	0.13	HH	76
0.265	0.325	0.31	0.335	0.315	0.35	0.385	0.13	HH	77
0.23	0.245	0.255	0.31	0.28	0.275	0.425	0.17	HH	78
0.225	0.22	0.235	0.195	0.22	0.225	0.37	0.15	HH	79
0.335	0.33	0.365	0.345	0.345	0.365	0.505	0.14	HH	80
0.4	0.4	0.31	0.39	0.39	0.415	0.435	0.17	HH	81
0.325	0.33	0.33	0.31	0.325	0.345	0.32	0.14	HH	82
0.305	0.275	0.325	0.325	0.295	0.31	0.4	0.16	HH	83
0.275	0.35	0.35	0.385	0.265	0.38	0.415	0.12	HH	84
0.3	0.25	0.205	0.295	0.275	0.285	0.35	0.21	HH	85
0.27	0.285	0.28	0.31	0.305	0.26	0.375	0.165	HH	86
0.29	0.295	0.285	0.31	0.315	0.33	0.38	0.135	HH	87
0.26	0.31	0.325	0.335	0.285	0.295	0.38	0.18	HH	88
0.38	0.37	0.415	0.42	0.335	0.43	0.42	0.34	HH	89
0.335	0.375	0.325	0.37	0.32	0.37	0.415	0.305	HH	90
0.365	0.405	0.405	0.45	0.325	0.425	0.455	0.145	HH	91
0.34	0.38	0.36	0.415	0.335	0.32	0.415	0.1	HH	92
0.34	0.335	0.36	0.425	0.35	0.37	0.45	0.13	HH	93
0.315	0.305	0.32	0.36	0.305	0.34	0.345	0.15	HH	94
0.26	0.36	0.295	0.375	0.335	0.33	0.4	0.105	HH	95
0.3	0.33	0.31	0.37	0.29	0.36	0.51	0.14	HH	96
0.4	0.48	0.43	0.465	0.425	0.46	0.505	0.12	HH	97
0.31	0.295	0.27	0.31	0.31	0.3	0.395	0.155	HH	98
0.405	0.43	0.4	0.42	0.4	0.42	0.475	0.15	HH	99
0.31	0.345	0.31	0.37	0.27	0.37	0.4	0.16	HE	100
0.26	0.27	0.305	0.33	0.275	0.29	0.4	0.175	HE	101
0.255	0.305	0.29	0.3	0.22	0.325	0.3	0.265	HE	102
0.345	0.39	0.35	0.44	0.345	0.395	0.38	0.185	HE	103
0.275	0.35	0.285	0.37	0.205	0.33	0.32	0.235	HE	104
0.31	0.375	0.325	0.365	0.305	0.345	0.415	0.265	HE	105
0.345	0.345	0.3	0.385	0.34	0.35	0.43	0.175	HE	106
0.26	0.3	0.305	0.29	0.305	0.325	0.33	0.175	HE	107
0.345	0.39	0.35	0.41	0.35	0.4	0.405	0.195	HE	108
0.34	0.37	0.32	0.365	0.295	0.385	0.405	0.17	HE	109
0.345	0.365	0.385	0.375	0.35	0.39	0.455	0.175	HE	110
0.355	0.395	0.33	0.38	0.295	0.4	0.395	0.33	HE	111
0.275	0.275	0.265	0.33	0.29	0.29	0.415	0.135	HE	112
0.34	0.335	0.35	0.385	0.36	0.36	0.435	0.2	HE	113
0.37	0.405	0.37	0.46	0.28	0.35	0.44	0.18	HE	114
0.255	0.375	0.325	0.35	0.325	0.34	0.355	0.11	HE	115
0.385	0.43	0.38	0.405	0.39	0.44	0.435	0.315	HE	116
0.295	0.355	0.38	0.365	0.365	0.33	0.43	0.215	HE	117
0.215	0.255	0.215	0.34	0.205	0.27	0.415	0.14	HE	118
0.31	0.27	0.305	0.265	0.315	0.265	0.415	0.185	HE	119
0.325	0.34	0.35	0.36	0.33	0.345	0.35	0.315	HE	120
0.265	0.325	0.305	0.34	0.26	0.33	0.365	0.19	HE	121
0.375	0.375	0.36	0.38	0.35	0.36	0.41	0.25	HE	122
0.325	0.37	0.3	0.36	0.33	0.38	0.385	0.28	HE	123
0.255	0.33	0.315	0.34	0.265	0.305	0.375	0.215	HE	124
0.315	0.335	0.335	0.385	0.305	0.36	0.38	0.21	HE	125
0.335	0.265	0.275	0.29	0.28	0.305	0.36	0.17	HE	126
0.325	0.4	0.3	0.335	0.285	0.37	0.42	0.13	HE	127
0.39	0.445	0.38	0.435	0.395	0.45	0.41	0.205	HE	128
0.265	0.37	0.32	0.355	0.265	0.31	0.36	0.195	HE	129
0.31	0.32	0.34	0.35	0.33	0.31	0.365	0.19	HE	130
0.305	0.355	0.33	0.39	0.325	0.345	0.38	0.225	HE	131
0.29	0.41	0.38	0.435	0.325	0.38	0.495	0.18	HE	132
0.36	0.445	0.335	0.445	0.335	0.445	0.44	0.185	HE	133
0.31	0.32	0.31	0.335	0.32	0.35	0.415	0.215	HE	134
0.325	0.355	0.3	0.335	0.32	0.38	0.425	0.225	HE	135
0.3	0.34	0.335	0.395	0.29	0.33	0.4	0.255	HE	136
0.265	0.265	0.26	0.315	0.25	0.295	0.455	0.225	HE	137
0.305	0.405	0.34	0.41	0.355	0.395	0.5	0.235	HE	138
0.235	0.31	0.23	0.33	0.225	0.275	0.38	0.2	HE	139
0.38	0.39	0.355	0.38	0.38	0.385	0.405	0.21	HE	140
0.31	0.35	0.3	0.37	0.3	0.375	0.45	0.155	HE	141
0.3	0.33	0.29	0.325	0.295	0.305	0.36	0.16	HE	142
0.305	0.335	0.285	0.325	0.31	0.345	0.35	0.205	HE	143
0.31	0.335	0.325	0.355	0.285	0.32	0.4	0.18	HE	144
0.365	0.39	0.395	0.41	0.385	0.41	0.37	0.145	HE	145
0.335	0.36	0.325	0.38	0.36	0.37	0.39	0.29	HE	146
0.265	0.31	0.28	0.33	0.26	0.31	0.425	0.15	HE	147
0.405	0.47	0.42	0.455	0.43	0.455	0.455	0.355	HE	148
0.33	0.39	0.36	0.395	0.34	0.385	0.45	0.28	HE	149
0.31	0.32	0.335	0.325	0.275	0.34	0.38	0.2	HE	150
0.375	0.35	0.365	0.4	0.37	0.37	0.36	0.185	HE	151
0.3	0.34	0.37	0.395	0.335	0.365	0.455	0.215	HE	152
0.255	0.36	0.235	0.32	0.255	0.35	0.375	0.23	HE	153
0.295	0.245	0.305	0.27	0.255	0.275	0.4	0.145	HE	154
0.295	0.31	0.295	0.33	0.265	0.36	0.42	0.16	HE	155
0.345	0.355	0.32	0.31	0.34	0.33	0.34	0.145	HE	156
0.25	0.34	0.285	0.33	0.25	0.34	0.375	0.135	HE	157
0.24	0.295	0.215	0.25	0.24	0.28	0.35	0.225	HE	158
0.24	0.28	0.305	0.33	0.29	0.325	0.405	0.24	HE	159
0.3	0.32	0.325	0.395	0.34	0.345	0.43	0.18	HE	160
0.46	0.43	0.42	0.45	0.455	0.475	0.455	0.325	HE	161
0.245	0.35	0.35	0.395	0.265	0.33	0.385	0.14	HE	162
0.28	0.305	0.28	0.33	0.275	0.305	0.4	0.15	HE	163
0.335	0.385	0.29	0.435	0.385	0.375	0.445	0.195	HE	164
0.235	0.325	0.23	0.35	0.225	0.285	0.43	0.2	HE	165
0.275	0.33	0.265	0.29	0.32	0.345	0.44	0.17	HE	166
0.295	0.32	0.32	0.365	0.285	0.39	0.455	0.24	HE	167
0.34	0.305	0.305	0.395	0.34	0.345	0.405	0.13	HE	168
0.325	0.33	0.275	0.415	0.315	0.365	0.41	0.18	HE	169
0.235	0.245	0.24	0.355	0.235	0.27	0.4	0.145	HE	170
0.42	0.46	0.42	0.455	0.425	0.44	0.45	0.36	HE	171
0.28	0.32	0.31	0.33	0.265	0.35	0.365	0.1	HE	172
