sklearn_dt	sklearn_rf	product_dt	product_rf	tangent_dt	tangent_rf	knn	ps_perceptron	seed
0.595	0.61	0.5925	0.605	0.58	0.615	0.4925	0.5075	0
0.565	0.5825	0.5675	0.605	0.5475	0.5975	0.4975	0.5025	1
0.625	0.615	0.625	0.61	0.59	0.57	0.5325	0.5325	2
0.575	0.5825	0.5725	0.5925	0.5625	0.58	0.5175	0.5175	3
0.5725	0.6075	0.5725	0.5975	0.555	0.605	0.5	0.5	4
0.6825	0.67	0.6825	0.6575	0.645	0.65	0.47	0.53	5
0.6375	0.635	0.64	0.64	0.625	0.6225	0.555	0.555	6
0.6275	0.615	0.61	0.61	0.595	0.5975	0.5	0.5	7
0.6125	0.59	0.6125	0.6125	0.615	0.5975	0.4925	0.5075	8
0.575	0.585	0.575	0.6	0.5775	0.595	0.4825	0.5175	9
0.595	0.6275	0.58	0.595	0.5875	0.5675	0.4975	0.5025	10
0.5875	0.6075	0.5875	0.5875	0.565	0.575	0.515	0.515	11
0.6425	0.6475	0.6425	0.655	0.63	0.6275	0.5225	0.5225	12
0.6075	0.61	0.61	0.6225	0.6025	0.595	0.4925	0.5075	13
0.57	0.55	0.57	0.5725	0.525	0.535	0.55	0.55	14
0.5875	0.6075	0.5875	0.57	0.5825	0.56	0.49	0.51	15
0.59	0.58	0.59	0.6075	0.5975	0.6225	0.495	0.505	16
0.61	0.615	0.61	0.62	0.61	0.635	0.4825	0.5175	17
0.6075	0.58	0.6075	0.6125	0.595	0.6075	0.4925	0.5075	18
0.6375	0.63	0.63	0.6275	0.6075	0.6025	0.495	0.505	19
0.58	0.605	0.5875	0.5925	0.575	0.59	0.5225	0.5225	20
0.605	0.585	0.605	0.5925	0.565	0.615	0.53	0.53	21
0.58	0.595	0.5825	0.6025	0.59	0.62	0.495	0.505	22
0.6575	0.645	0.655	0.6325	0.635	0.6425	0.4925	0.5075	23
0.5825	0.5925	0.565	0.595	0.5475	0.5925	0.5175	0.5175	24
0.59	0.6125	0.5925	0.6175	0.56	0.61	0.4925	0.5075	25
0.58	0.58	0.59	0.5925	0.54	0.5575	0.51	0.51	26
0.605	0.6275	0.605	0.6175	0.6175	0.6425	0.5	0.5	27
0.59	0.56	0.58	0.575	0.585	0.56	0.5475	0.5475	28
0.59	0.6	0.59	0.58	0.58	0.5775	0.4725	0.5275	29
0.5925	0.605	0.5875	0.59	0.5525	0.5875	0.5325	0.5325	30
0.6175	0.6175	0.6175	0.59	0.605	0.5925	0.4775	0.5225	31
0.5725	0.605	0.5725	0.585	0.5575	0.595	0.4775	0.5225	32
0.61	0.625	0.6075	0.62	0.6025	0.5925	0.505	0.505	33
0.675	0.665	0.675	0.685	0.5975	0.66	0.4925	0.5075	34
0.59	0.5825	0.5875	0.565	0.57	0.565	0.51	0.51	35
0.5275	0.5975	0.525	0.5775	0.535	0.5725	0.4775	0.5225	36
0.6275	0.6275	0.6275	0.6325	0.6225	0.6125	0.4725	0.5275	37
0.6175	0.6525	0.6175	0.675	0.575	0.66	0.5675	0.5675	38
0.645	0.6475	0.6475	0.615	0.63	0.62	0.4875	0.5125	39
0.6175	0.645	0.63	0.615	0.6225	0.59	0.5025	0.5025	40
0.63	0.6375	0.63	0.635	0.61	0.6125	0.4875	0.5125	41
0.59	0.595	0.59	0.5925	0.58	0.59	0.5225	0.5225	42
0.6175	0.5875	0.6225	0.625	0.5825	0.5875	0.48	0.52	43
0.6125	0.6275	0.6125	0.6225	0.6025	0.6125	0.4925	0.5075	44
0.5825	0.59	0.5825	0.5825	0.5725	0.575	0.525	0.525	45
