sklearn_dt	sklearn_rf	product_dt	product_rf	tangent_dt	tangent_rf	knn	ps_perceptron	trial
0.795	0.83	0.84	0.835	0.795	0.815	0.91	0.69	0
0.845	0.835	0.845	0.84	0.755	0.855	0.915	0.66	1
0.8	0.865	0.86	0.84	0.775	0.85	0.89	0.625	2
0.865	0.88	0.86	0.86	0.87	0.865	0.91	0.635	3
0.83	0.875	0.845	0.865	0.82	0.855	0.92	0.73	4
0.775	0.85	0.825	0.85	0.78	0.825	0.905	0.73	5
0.72	0.785	0.795	0.805	0.715	0.71	0.89	0.71	6
0.775	0.83	0.825	0.82	0.79	0.815	0.91	0.69	7
0.845	0.86	0.87	0.875	0.815	0.825	0.935	0.7	8
0.845	0.845	0.85	0.845	0.84	0.83	0.895	0.62	9
0.825	0.835	0.835	0.845	0.82	0.83	0.93	0.705	10
0.79	0.84	0.85	0.83	0.81	0.82	0.885	0.695	11
0.795	0.81	0.825	0.82	0.81	0.795	0.935	0.715	12
0.83	0.84	0.835	0.84	0.8	0.83	0.92	0.75	13
0.82	0.84	0.82	0.86	0.71	0.8	0.895	0.74	14
0.785	0.785	0.79	0.775	0.77	0.76	0.91	0.66	15
0.845	0.84	0.815	0.86	0.835	0.83	0.925	0.66	16
0.8	0.845	0.845	0.86	0.795	0.825	0.895	0.67	17
0.81	0.81	0.855	0.855	0.82	0.785	0.915	0.73	18
0.745	0.805	0.825	0.805	0.72	0.76	0.905	0.72	19
0.86	0.81	0.81	0.875	0.795	0.8	0.93	0.795	20
0.88	0.885	0.86	0.86	0.875	0.875	0.905	0.61	21
0.785	0.82	0.825	0.835	0.775	0.785	0.91	0.775	22
0.83	0.83	0.81	0.825	0.735	0.785	0.9	0.715	23
0.86	0.895	0.87	0.86	0.79	0.86	0.915	0.675	24
0.83	0.825	0.845	0.845	0.835	0.8	0.935	0.74	25
0.83	0.885	0.885	0.895	0.8	0.87	0.95	0.755	26
0.855	0.81	0.85	0.84	0.84	0.825	0.92	0.71	27
0.775	0.85	0.875	0.9	0.865	0.795	0.93	0.7	28
0.925	0.87	0.885	0.925	0.87	0.875	0.92	0.68	29
0.85	0.825	0.84	0.86	0.83	0.81	0.91	0.72	30
0.82	0.865	0.79	0.88	0.82	0.85	0.94	0.78	31
0.83	0.8	0.82	0.835	0.795	0.82	0.905	0.695	32
0.77	0.78	0.825	0.835	0.78	0.795	0.905	0.73	33
0.785	0.865	0.835	0.83	0.79	0.82	0.91	0.69	34
0.825	0.79	0.835	0.855	0.77	0.82	0.935	0.675	35
0.78	0.845	0.825	0.815	0.835	0.82	0.905	0.69	36
0.76	0.805	0.835	0.83	0.79	0.81	0.93	0.69	37
0.85	0.825	0.835	0.86	0.825	0.83	0.935	0.775	38
0.75	0.775	0.795	0.785	0.76	0.785	0.915	0.72	39
0.82	0.835	0.85	0.85	0.8	0.865	0.92	0.645	40
0.87	0.8	0.825	0.845	0.83	0.785	0.945	0.76	41
0.825	0.84	0.815	0.805	0.78	0.81	0.89	0.655	42
0.91	0.925	0.865	0.885	0.845	0.89	0.935	0.72	43
0.82	0.845	0.885	0.83	0.84	0.85	0.895	0.66	44
0.81	0.82	0.85	0.845	0.8	0.825	0.91	0.785	45
0.79	0.815	0.78	0.805	0.75	0.795	0.915	0.675	46
0.87	0.855	0.855	0.85	0.83	0.865	0.91	0.695	47
0.855	0.84	0.835	0.835	0.805	0.82	0.88	0.705	48
0.81	0.795	0.8	0.83	0.825	0.825	0.93	0.635	49
0.83	0.865	0.85	0.85	0.78	0.815	0.915	0.695	50
0.82	0.84	0.815	0.79	0.785	0.765	0.915	0.685	51
0.83	0.83	0.84	0.85	0.74	0.845	0.91	0.72	52
0.805	0.84	0.815	0.815	0.775	0.81	0.92	0.635	53
0.775	0.785	0.795	0.82	0.755	0.78	0.91	0.665	54
0.785	0.815	0.795	0.835	0.78	0.825	0.915	0.63	55
0.77	0.845	0.845	0.855	0.79	0.795	0.915	0.73	56
0.885	0.87	0.89	0.89	0.83	0.885	0.92	0.67	57
0.805	0.835	0.805	0.855	0.77	0.77	0.93	0.705	58
0.85	0.865	0.855	0.835	0.8	0.815	0.9	0.755	59
0.805	0.815	0.805	0.795	0.82	0.795	0.925	0.7	60
0.8	0.83	0.82	0.83	0.785	0.805	0.875	0.69	61
0.795	0.805	0.795	0.825	0.73	0.78	0.915	0.705	62
0.815	0.83	0.82	0.82	0.765	0.8	0.88	0.715	63
0.835	0.83	0.82	0.825	0.77	0.8	0.895	0.755	64
0.79	0.825	0.795	0.805	0.775	0.815	0.875	0.68	65
0.765	0.85	0.865	0.87	0.775	0.845	0.925	0.705	66
0.76	0.86	0.83	0.825	0.82	0.805	0.905	0.705	67
0.735	0.895	0.855	0.91	0.74	0.855	0.96	0.695	68
0.84	0.84	0.845	0.845	0.785	0.81	0.905	0.675	69
0.865	0.865	0.84	0.805	0.82	0.85	0.92	0.655	70
0.775	0.775	0.8	0.805	0.76	0.775	0.905	0.655	71
0.85	0.855	0.87	0.87	0.79	0.85	0.935	0.735	72
0.81	0.84	0.825	0.83	0.805	0.82	0.915	0.7	73
0.78	0.835	0.845	0.84	0.805	0.835	0.92	0.74	74
0.795	0.815	0.84	0.87	0.79	0.83	0.92	0.795	75
0.81	0.865	0.87	0.855	0.805	0.855	0.95	0.695	76
0.78	0.885	0.86	0.85	0.855	0.855	0.945	0.665	77
0.81	0.82	0.825	0.825	0.795	0.79	0.915	0.715	78
0.75	0.87	0.83	0.87	0.81	0.815	0.935	0.75	79
0.87	0.84	0.87	0.89	0.82	0.855	0.925	0.8	80
0.83	0.87	0.85	0.86	0.845	0.87	0.92	0.695	81
