table	dataset	signature	sklearn_dt	sklearn_rf	product_dt	product_rf	tangent_dt	tangent_rf	knn	ps_perceptron
classification_signature	classification_signature	$(\S{2})^2$	0.2961	0.32284999999999997	0.30245	0.33075000000000004	0.28864999999999996	0.3154	0.35655000000000003	0.2542
classification_signature	classification_signature	$\E{4}$	0.27065	0.30015000000000003	0.281	0.31265	0.2706	0.30015000000000003	0.3493	0.2122
classification_signature	classification_signature	$\H{2}\times\E{2}$	0.30835	0.3468	0.32020000000000004	0.3614	0.30885	0.348	0.40299999999999997	0.20165
classification_signature	classification_signature	$\H{2}\times\S{2}$	0.30595	0.3331	0.3116	0.35205	0.30455000000000004	0.33640000000000003	0.3845	0.20204999999999998
classification_signature	classification_signature	$\H{4}$	0.32854999999999995	0.3588	0.35215	0.40025	0.33	0.37929999999999997	0.4746	0.1564
classification_signature	classification_signature	$\S{2}\times\E{2}$	0.295	0.3268	0.29960000000000003	0.33509999999999995	0.29309999999999997	0.3235	0.35795	0.23705
classification_signature	classification_signature	$\S{4}$	0.2587	0.2762	0.2515	0.2802	0.23975000000000002	0.2622	0.33085000000000003	0.18114999999999998
classification_signature	classification_signature	($\H{2})^2$	0.3173	0.34505	0.32280000000000003	0.36955	0.31905	0.3538	0.41455	0.1575
classification_single_curvature	classification_single_curvature	$\E{2}$	0.2839	0.30485	0.28525	0.30895	0.28385	0.30485	0.28215	0.19505
classification_single_curvature	classification_single_curvature	$\H{2,0.25}$	0.28545	0.2965	0.2873	0.30555	0.2867	0.30105	0.27845	0.18405000000000002
classification_single_curvature	classification_single_curvature	$\H{2,0.5}$	0.27825	0.28835	0.28254999999999997	0.30195	0.276	0.2895	0.28275	0.21155000000000002
classification_single_curvature	classification_single_curvature	$\H{2,1.0}$	0.2792	0.2891	0.2816	0.30815000000000003	0.26105	0.27690000000000003	0.285	0.20965
classification_single_curvature	classification_single_curvature	$\H{2,2.0}$	0.2618	0.2655	0.26385000000000003	0.2813	0.2433	0.25615	0.2703	0.1825
classification_single_curvature	classification_single_curvature	$\H{2,4.0}$	0.25345	0.2552	0.25245	0.27190000000000003	0.2273	0.24335	0.2605	0.17345
classification_single_curvature	classification_single_curvature	$\S{2,-0.25}$	0.2905	0.29545	0.29164999999999996	0.3119	0.2922	0.30524999999999997	0.29355	0.16085000000000002
classification_single_curvature	classification_single_curvature	$\S{2,-0.5}$	0.2924	0.3038	0.3017	0.32289999999999996	0.2957	0.31379999999999997	0.30605	0.16265000000000002
classification_single_curvature	classification_single_curvature	$\S{2,-1.0}$	0.3002	0.3037	0.30945	0.33240000000000003	0.30315000000000003	0.3212	0.3258	0.1612
classification_single_curvature	classification_single_curvature	$\S{2,-2.0}$	0.3235	0.3295	0.34119999999999995	0.36655	0.33845	0.35515	0.36075	0.15560000000000002
classification_single_curvature	classification_single_curvature	$\S{2,-4.0}$	0.3239	0.33049999999999996	0.36305	0.40055	0.35195	0.3757	0.4163	0.16445
empirical	fourier	(\S{1})^5	0.7618867924528303	0.7601886792452831	0.7600943396226415	0.7696226415094339	0.7620754716981132	0.7584905660377359	0.505	0.5385849056603774
empirical	temperature	"\S{2} 	imes \S{1}"	5.29035803577237	4.531106139677779	7.573912410881793	7.130482851869922	7.822581844027371	6.260999817165964	7.198442873063816	
graphs	citeseer	$(\S{2})^2$	0.2533175355450236	0.26990521327014216	0.2582938388625592	0.2713270142180094	0.2530805687203791	0.26161137440758286	0.25142180094786726	0.13483412322274876
graphs	citeseer	$\E{4}$	0.2445497630331753	0.2585308056872037	0.23672985781990516	0.25142180094786726	0.2445497630331753	0.24999999999999994	0.24075829383886252	0.133649289099526
graphs	citeseer	$\H{2}\times\E{2}$	0.2537914691943127	0.2663507109004739	0.25236966824644547	0.2635071090047393	0.24857819905213266	0.25592417061611367	0.2469194312796208	0.13436018957345966
graphs	citeseer	$\H{2}\times\S{2}$	0.2537914691943127	0.2606635071090047	0.2582938388625592	0.25592417061611367	0.25047393364928905	0.2587677725118483	0.2590047393364928	0.13744075829383878
graphs	citeseer	$\H{4}$	0.25473933649289093	0.26943127962085306	0.24004739336492883	0.2599526066350711	0.24644549763033172	0.2651658767772512	0.26232227488151655	0.14146919431279614
graphs	citeseer	$\S{2}\times\E{2}$	0.24905213270142176	0.26255924170616113	0.24360189573459712	0.2590047393364928	0.25047393364928905	0.2582938388625592	0.2561611374407583	0.13672985781990515
graphs	citeseer	$\S{4}$	0.24502369668246443	0.254739336492891	0.2421800947867298	0.24905213270142176	0.24407582938388622	0.2488151658767772	0.2473933649289099	0.13744075829383878
graphs	citeseer	($\H{2})^2$	0.2578199052132701	0.2729857819905213	0.2535545023696682	0.26824644549763027	0.25260663507109	0.2658767772511848	0.24928909952606632	0.0535545023696682
graphs	cora	$(\S{2})^2$	0.29235412474849093	0.29879275653923537	0.279476861167002	0.29617706237424546	0.29154929577464783	0.29718309859154923	0.21388329979879273	0.18189134808853116
graphs	cora	$\E{4}$	0.28430583501006035	0.29275653923541245	0.28873239436619713	0.29396378269617707	0.2841046277665996	0.296579476861167	0.21146881287726355	0.1639839034205231
graphs	cora	$\H{2}\times\E{2}$	0.2869215291750503	0.29235412474849093	0.2865191146881288	0.29215291750503014	0.2879275653923541	0.2935613682092555	0.20120724346076452	0.172635814889336
graphs	cora	$\H{2}\times\S{2}$	0.2853118712273642	0.29839034205231385	0.28993963782696175	0.2985915492957746	0.28832997987927567	0.29839034205231385	0.20865191146881285	0.15875251509054322
graphs	cora	$\H{4}$	0.2851106639839034	0.2885311871227364	0.2740442655935614	0.28933601609657944	0.28148893360160965	0.2873239436619718	0.2072434607645875	0.20382293762575449
graphs	cora	$\S{2}\times\E{2}$	0.28028169014084503	0.286317907444668	0.2845070422535211	0.2849094567404426	0.27786720321931585	0.2845070422535211	0.2100603621730382	0.16700201207243456
graphs	cora	$\S{4}$	0.2788732394366197	0.28873239436619713	0.27746478873239433	0.28772635814889336	0.27786720321931585	0.2885311871227364	0.20704225352112676	0.16820925553319915
graphs	cora	($\H{2})^2$	0.29275653923541245	0.3026156941649899	0.29517102615694163	0.3026156941649899	0.29557344064386315	0.30462776659959756	0.20663983903420519	0.050503018108651855
graphs	cs_phds	$(\S{2})^2$	0.04780487804878044	0.054634146341463366	0.045853658536585316	0.045853658536585316	0.045853658536585316	0.0414634146341463	0.05756097560975604	0.04341463414634142
graphs	cs_phds	$\E{4}$	0.03999999999999996	0.04731707317073166	0.03804878048780484	0.0463414634146341	0.03999999999999996	0.04829268292682922	0.055609756097560914	0.03512195121951216
graphs	cs_phds	$\H{2}\times\E{2}$	0.039999999999999966	0.05073170731707312	0.04487804878048776	0.04439024390243898	0.03853658536585362	0.048780487804877995	0.056585365853658476	0.04341463414634142
graphs	cs_phds	$\H{2}\times\S{2}$	0.04292682926829264	0.053658536585365804	0.0439024390243902	0.05512195121951215	0.04536585365853654	0.04780487804878044	0.04780487804878044	0.045365853658536535
graphs	cs_phds	$\H{4}$	0.05219512195121946	0.05219512195121946	0.0414634146341463	0.056585365853658476	0.049268292682926776	0.05951219512195116	0.05268292682926824	0.0439024390243902
graphs	cs_phds	$\S{2}\times\E{2}$	0.04048780487804874	0.05024390243902434	0.04048780487804874	0.05317073170731702	0.03804878048780484	0.048292682926829214	0.06682926829268286	0.04195121951219508
graphs	cs_phds	$\S{4}$	0.04048780487804874	0.04975609756097556	0.04682926829268288	0.04829268292682922	0.0414634146341463	0.04341463414634142	0.06536585365853652	0.04292682926829264
graphs	cs_phds	($\H{2})^2$	0.0395663956639566	0.050406504065040596	0.0417344173441734	0.0509485094850948	0.042818428184281804	0.052032520325203196	0.0666666666666666	0.0005420054200542
graphs	polblogs	$(\S{2})^2$	0.9318367346938775	0.9314285714285715	0.896326530612245	0.9289795918367346	0.9093877551020408	0.9097959183673471	0.9346938775510203	0.5036734693877551
graphs	polblogs	$\E{4}$	0.9244897959183674	0.9269387755102041	0.9326530612244899	0.9359183673469389	0.9248979591836735	0.9306122448979591	0.9387755102040817	0.48408163265306114
graphs	polblogs	$\H{2}\times\E{2}$	0.9293877551020409	0.9342857142857144	0.9314285714285715	0.9355102040816327	0.9273469387755103	0.9285714285714286	0.9363265306122448	0.6359183673469387
graphs	polblogs	$\H{2}\times\S{2}$	0.9293877551020409	0.9363265306122448	0.9244897959183674	0.9330612244897958	0.9224489795918368	0.9322448979591836	0.9395918367346938	0.6208163265306123
graphs	polblogs	$\H{4}$	0.9212244897959184	0.9253061224489796	0.9273469387755103	0.9314285714285715	0.9191836734693878	0.9248979591836735	0.9351020408163265	0.48734693877551016
graphs	polblogs	$\S{2}\times\E{2}$	0.9342857142857144	0.9391836734693877	0.9379591836734693	0.9318367346938775	0.9253061224489796	0.9359183673469389	0.9432653061224489	0.4983673469387755
graphs	polblogs	$\S{4}$	0.9151020408163266	0.9285714285714286	0.9281632653061225	0.9310204081632654	0.917142857142857	0.9281632653061225	0.9338775510204081	0.48
graphs	polblogs	($\H{2})^2$	0.9253061224489796	0.9281632653061225	0.9269387755102041	0.9371428571428572	0.9269387755102041	0.9326530612244899	0.9387755102040816	0.48
link_prediction	adjnoun	"(\S{2}	imes\E{2}	imes\H{2})^2	imes\E{1}"	0.9353497164461247	0.9374291115311909	0.9353497164461247	0.9372400756143667	0.9353497164461247	0.9372400756143667	0.9330812854442344	0.9372400756143667
