sklearn_dt	sklearn_rf	product_dt	product_rf	tangent_dt	tangent_rf	knn	ps_perceptron	embedding	trial
0.0932	0.0956	0.093	0.0962	0.093	0.0947	0.0661	0.0592	cifar_100	0
0.1048	0.1162	0.1031	0.1126	0.1046	0.1117	0.0763	0.0496	cifar_100	1
0.0898	0.0846	0.0792	0.0813	0.0824	0.0819	0.0863	0.0745	cifar_100	2
0.0956	0.1049	0.0878	0.0974	0.1004	0.0985	0.0859	0.079	cifar_100	3
0.1079	0.1284	0.1085	0.1238	0.1077	0.1241	0.079	0.0496	cifar_100	4
0.095	0.1143	0.0934	0.1053	0.0948	0.111	0.0958	0.0484	cifar_100	5
0.1095	0.1344	0.114	0.1292	0.1096	0.1404	0.0971	0.0555	cifar_100	6
0.1065	0.1207	0.1084	0.1216	0.1071	0.1224	0.0773	0.0481	cifar_100	7
0.1122	0.1319	0.1269	0.1313	0.1153	0.1308	0.1056	0.0608	cifar_100	8
0.0988	0.1161	0.0942	0.1126	0.0986	0.1232	0.1037	0.0557	cifar_100	9
0.328	0.3682	0.3362	0.3705	0.3281	0.361	0.4119	0.1157	mnist	0
0.2691	0.3511	0.2969	0.3842	0.2648	0.3594	0.3867	0.1493	mnist	1
0.3981	0.5492	0.393	0.5684	0.4056	0.6006	0.734	0.3722	mnist	2
0.2837	0.3341	0.2965	0.3863	0.2841	0.3807	0.4166	0.259	mnist	3
0.2684	0.2762	0.2868	0.3108	0.2629	0.2736	0.3399	0.1817	mnist	4
0.2729	0.3314	0.3416	0.4037	0.2702	0.357	0.4606	0.1624	mnist	5
0.2786	0.3312	0.2919	0.3689	0.2804	0.33	0.3781	0.0973	mnist	6
0.2925	0.3268	0.2944	0.3682	0.2967	0.3406	0.3582	0.1602	mnist	7
0.2567	0.3028	0.2739	0.3175	0.2561	0.3224	0.3403	0.1195	mnist	8
0.2592	0.305	0.3036	0.3527	0.2531	0.3151	0.3533	0.1373	mnist	9
