seed	dt_1_test	rf_1_test	dt_1_train	rf_1_train	dt_2_test	rf_2_test	dt_2_train	rf_2_train	dt_3_test	rf_3_test	dt_3_train	rf_3_train	dt_4_test	rf_4_test	dt_4_train	rf_4_train	dt_5_test	rf_5_test	dt_5_train	rf_5_train	dt_6_test	rf_6_test	dt_6_train	rf_6_train	dt_None_test	rf_None_test	dt_None_train	rf_None_train
0	0.34	0.34	0.32875	0.35875	0.375	0.47	0.355	0.46875	0.415	0.515	0.42125	0.5875	0.435	0.66	0.505	0.70875	0.645	0.71	0.6375	0.77375	0.665	0.73	0.72125	0.8	0.725	0.765	1.0	0.99875
1	0.345	0.28	0.325	0.2525	0.44	0.46	0.40875	0.44125	0.485	0.475	0.50375	0.485	0.55	0.54	0.59875	0.6	0.57	0.57	0.57625	0.67625	0.59	0.62	0.645	0.75375	0.71	0.66	0.84875	0.90875
2	0.285	0.285	0.3275	0.3275	0.375	0.455	0.43875	0.5325	0.47	0.57	0.53375	0.635	0.605	0.685	0.65625	0.75125	0.7	0.735	0.75875	0.83375	0.75	0.735	0.845	0.8875	0.775	0.745	0.985	0.9975
3	0.295	0.325	0.3025	0.34875	0.375	0.57	0.385	0.56	0.475	0.685	0.47875	0.6925	0.59	0.735	0.58875	0.77625	0.59	0.76	0.66125	0.8125	0.625	0.795	0.705	0.86375	0.705	0.815	0.96875	0.995
4	0.37	0.41	0.38125	0.4225	0.46	0.5	0.45375	0.51875	0.56	0.575	0.51625	0.6375	0.585	0.655	0.615	0.7775	0.635	0.745	0.71125	0.86625	0.685	0.825	0.76875	0.92625	0.735	0.87	0.89625	0.99875
5	0.25	0.42	0.25375	0.36625	0.38	0.52	0.39	0.51125	0.48	0.665	0.5325	0.68875	0.615	0.72	0.68625	0.79625	0.66	0.735	0.77125	0.84375	0.705	0.785	0.8675	0.90125	0.765	0.805	1.0	1.0
6	0.3	0.38	0.35375	0.435	0.4	0.445	0.455	0.4825	0.52	0.575	0.5225	0.61875	0.56	0.65	0.6275	0.695	0.66	0.645	0.76	0.78	0.68	0.705	0.8175	0.84875	0.705	0.75	0.995	1.0
7	0.3	0.42	0.2525	0.39625	0.305	0.48	0.32125	0.47875	0.33	0.505	0.35	0.56875	0.39	0.605	0.445	0.71875	0.405	0.66	0.5275	0.785	0.495	0.65	0.61875	0.845	0.605	0.715	0.915	0.99375
8	0.315	0.345	0.29625	0.34875	0.345	0.44	0.34875	0.475	0.41	0.52	0.43125	0.6175	0.52	0.675	0.52	0.73125	0.54	0.775	0.625	0.845	0.615	0.79	0.7025	0.88875	0.665	0.815	1.0	0.9975
9	0.355	0.395	0.33625	0.4475	0.41	0.475	0.45	0.5025	0.485	0.57	0.53125	0.6325	0.585	0.66	0.62	0.735	0.59	0.71	0.7025	0.8175	0.7	0.775	0.79625	0.8875	0.74	0.815	0.99875	0.99875
10	0.25	0.355	0.23375	0.355	0.34	0.485	0.35	0.49625	0.305	0.58	0.38125	0.57875	0.385	0.685	0.445	0.68625	0.56	0.715	0.5975	0.7725	0.625	0.765	0.70125	0.8375	0.755	0.77	1.0	0.9925
